Observation Number,dist_cod,county,district,gr_span,enrl_tot,teachers,calw_pct,meal_pct,computer,testscr,comp_stu,expn_stu,str,avginc,el_pct,read_scr,math_scr
1,75119,Alameda,Sunol Glen Unified,KK-08,195,10.8999996185,0.5102000237,2.0408000946,67,690.799987793,0.3435897529,6384.9111328125,17.8899097443,22.6900005341,0,691.5999755859,690
2,61499,Butte,Manzanita Elementary,KK-08,240,11.1499996185,15.4167003632,47.9166984558,101,661.200012207,0.4208333194,5099.380859375,21.5246639252,9.8240003586,4.5833334923,660.5,661.9000244141
3,61549,Butte,Thermalito Union Elementary,KK-08,1550,82.9000015259,55.0322990417,76.3226013184,169,643.5999755859,0.1090322584,5501.9545898438,18.6972255707,8.9779996872,30.0000019073,636.299987793,650.9000244141
4,61457,Butte,Golden Feather Union Elementary,KK-08,243,14,36.4753990173,77.0492019653,85,647.700012207,0.3497942388,7101.8310546875,17.3571434021,8.9779996872,0,651.9000244141,643.5
5,61523,Butte,Palermo Union Elementary,KK-08,1335,71.5,33.1086006165,78.4270019531,171,640.8499755859,0.1280898899,5235.9877929688,18.6713294983,9.080332756,13.8576774597,641.799987793,639.9000244141
6,62042,Fresno,Burrel Union Elementary,KK-08,137,6.4000000954,12.3187999725,86.9564971924,25,605.5500488281,0.1824817508,5580.1469726563,21.40625,10.4149999619,12.4087591171,605.700012207,605.4000244141
7,68536,San Joaquin,Holt Union Elementary,KK-08,195,10,12.9032001495,94.6237030029,28,606.75,0.1435897499,5253.3310546875,19.5,6.5770001411,68.7179489136,604.5,609
8,63834,Kern,Vineland Elementary,KK-08,888,42.5,18.8062992096,100,66,609,0.0743243247,4565.74609375,20.8941173553,8.1739997864,46.9594612122,605.5,612.5
9,62331,Fresno,Orange Center Elementary,KK-08,379,19,32.1899986267,93.1398010254,35,612.5,0.092348285,5355.5483398438,19.9473686218,7.3850002289,30.0791568756,608.9000244141,616.0999755859
10,67306,Sacramento,Del Paso Heights Elementary,KK-06,2247,108,78.9942016602,87.3163986206,0,612.6500244141,0,5036.2114257813,20.8055553436,11.6133327484,40.2759208679,611.9000244141,613.4000244141
11,65722,Merced,Le Grand Union Elementary,KK-08,446,21,18.6098995209,85.8743972778,86,615.75,0.1928251088,4547.6923828125,21.2380943298,8.9309997559,52.9147987366,612.799987793,618.700012207
12,62174,Fresno,West Fresno Elementary,KK-08,987,47,71.7130966187,98.6055984497,56,616.299987793,0.0567375869,5447.3452148438,21,7.3850002289,54.6099319458,616.5999755859,616
13,71795,Tulare,Allensworth Elementary,KK-08,103,5,22.4298992157,98.1307983398,25,616.299987793,0.2427184433,6567.1494140625,20.6000003815,5.3350000381,42.7184448242,612.799987793,619.799987793
14,72181,Tulare,Sunnyside Union Elementary,KK-08,487,24.3400001526,24.6093997955,77.148399353,0,616.299987793,0,4818.6127929688,20.0082168579,8.2790002823,20.5338802338,610,622.5999755859
15,72298,Tulare,Woodville Elementary,KK-08,649,36,14.6379003525,76.2712020874,31,616.450012207,0.0477657951,5621.4560546875,18.0277786255,9.6300001144,80.123260498,611.9000244141,621
16,72041,Tulare,Pixley Union Elementary,KK-08,852,42.0699996948,24.2141990662,94.2957000732,80,617.3499755859,0.0938967168,6026.3598632813,20.2519607544,7.4539999962,49.413143158,614.799987793,619.9000244141
17,63594,Kern,Lost Hills Union Elementary,KK-08,491,28.9200000763,11.2016000748,97.7596969604,100,618.0500488281,0.2036659867,6723.2377929688,16.9778690338,6.2160000801,85.5397186279,611.700012207,624.4000244141
18,63370,Kern,Buttonwillow Union Elementary,KK-08,421,25.5,8.5510997772,77.9096984863,50,618.3000488281,0.1187648475,5589.8852539063,16.509803772,7.763999939,58.9073638916,614.9000244141,621.700012207
19,64709,Los Angeles,Lennox Elementary,KK-08,6880,303.0299987793,21.2824001312,94.9711990356,960,619.799987793,0.1395348907,5064.6157226563,22.7040233612,7.021999836,77.0058135986,619.0999755859,620.5
20,63560,Kern,Lamont Elementary,KK-08,2688,135,23.4375,93.2292022705,139,620.299987793,0.0517113097,5433.5932617188,19.9111118317,5.6989998817,49.8139877319,621.299987793,619.299987793
21,63230,Imperial,Westmorland Union Elementary,KK-08,440,24,34.7727012634,100,69,620.5,0.1568181813,5725.5634765625,18.3333339691,7.9409999847,40.6818199158,615.5999755859,625.4000244141
22,72058,Tulare,Pleasant View Elementary,KK-08,475,21,21.6494998932,91.5464019775,53,621.4000244141,0.1115789488,4542.1049804688,22.6190471649,9.6300001144,16.2105255127,619.9000244141,622.9000244141
23,63842,Kern,Wasco Union Elementary,KK-08,2538,130.5,18.9111003876,70.8167037964,169,621.75,0.0665878654,5107.0864257813,19.4482765198,7.4050002098,45.0748634338,622.9000244141,620.5999755859
24,71811,Tulare,Alta Vista Elementary,KK-08,476,19,43.8558998108,100,0,622.0500488281,0,4659.6616210938,25.0526313782,9.6300001144,39.075630188,620.700012207,623.4000244141
25,65748,Merced,Livingston Union Elementary,KK-08,2357,114,16.8010005951,90.6237030029,216,622.5999755859,0.0916419178,4555.4643554688,20.6754379272,8.0190000534,76.6652526855,619.5,625.700012207
26,72272,Tulare,Woodlake Union Elementary,KK-08,1588,85,22.4071998596,85.1472015381,198,623.0999755859,0.1246851385,5415.1528320313,18.682352066,8.5229997635,40.4911842346,625,621.200012207
27,65961,Monterey,Alisal Union Elementary,KK-06,7306,319.799987793,17.001499176,88.0348968506,742,623.200012207,0.1015603617,4997.8715820313,22.8455295563,7.9831814766,73.7202301025,620.4000244141,626
28,63313,Kern,Arvin Union Elementary,KK-08,2601,135,15.071100235,92.1952972412,269,623.450012207,0.1034217626,5223.912109375,19.2666664124,7.3049998283,70.0115356445,616.5,630.4000244141
29,72199,Tulare,Terra Bella Union Elementary,KK-08,847,44,16.2928009033,90.2006988525,67,623.5999755859,0.0791027173,5139.1645507813,19.25,8.9340000153,55.9622154236,620.0999755859,627.0999755859
30,72215,Tulare,Tipton Elementary,KK-08,452,22,14.4989004135,81.0234985352,55,624.1500244141,0.1216814145,4614.251953125,20.5454540253,8.5539999008,11.0619468689,627.9000244141,620.4000244141
31,68379,San Diego,San Ysidro Elementary,KK-08,4142,201,35.5625,81.5065002441,569,624.5500488281,0.1373732537,5342.2333984375,20.6069660187,6.6129999161,80.4200897217,620.4000244141,628.700012207
32,75440,Monterey,Soledad Unified,KK-08,2102,99.75,15.319899559,90.2848968506,224,624.950012207,0.1065651774,5347.4584960938,21.072681427,12.4090003967,63.130355835,623,626.9000244141
33,64816,Los Angeles,Mountain View Elementary,KK-08,10012,464.8999938965,29.7639007568,91.5933990479,721,625.299987793,0.0720135868,5036.458984375,21.5358142853,8.1266155243,65.1218566895,620.799987793,629.799987793
34,66050,Monterey,King City Union Elementary,KK-08,2488,125,12.6920003891,55.0929985046,202,625.8499755859,0.0811897069,5117.1416015625,19.9039993286,11.4309997559,53.4164009094,626.0999755859,625.5999755859
35,67819,San Bernardino,Ontario-Montclair Elementary,KK-08,25151,1186.6999511719,17.4426002502,80.195602417,1713,626.0999755859,0.0681086257,5117.0395507813,21.1940689087,11.7222251892,49.8230705261,625.4000244141,626.799987793
36,64758,Los Angeles,Los Nietos Elementary,KK-08,2267,103.6800003052,19.1516990662,84.4337997437,177,626.8000488281,0.07807675,5272.1918945313,21.865354538,11.3325004578,35.4653701782,625.4000244141,628.200012207
37,65870,Merced,Winton Elementary,KK-08,1657,90.4000015259,28.8472995758,84.7313995361,204,626.9000244141,0.1231140643,5225.7192382813,18.3296451569,9.5979995728,56.1255264282,623.5999755859,630.200012207
38,62380,Fresno,Raisin City Elementary,KK-08,284,17.5,14.5270004272,94.9324035645,18,627.0999755859,0.0633802786,6516.533203125,16.2285709381,14.5579996109,32.394367218,628.9000244141,625.299987793
39,68999,San Mateo,Ravenswood City Elementary,KK-08,5370,280,19.5716991425,81.1173019409,562,627.25,0.1046554968,4559.1767578125,19.178571701,22.0599994659,65.5121002197,624.4000244141,630.0999755859
40,63578,Kern,Richland-Lerdo Union Elementary,KK-08,2471,121.8600006104,23.795999527,87.7781982422,275,627.299987793,0.1112909764,5119.158203125,20.2773666382,9.7089996338,53.0554428101,627.5,627.0999755859
41,72538,Ventura,Oxnard Elementary,KK-08,15386,669.3599853516,12.5064001083,71.4330978394,1762,628.25,0.114519693,5338.185546875,22.9861373901,11.4829444885,49.6425323486,627.799987793,628.700012207
42,65680,Merced,El Nido Elementary,KK-08,184,9,22.2826004028,85.8695983887,40,628.4000244141,0.2173912972,5090.044921875,20.4444446564,8.1780004501,45.1086959839,621.5999755859,635.200012207
43,63461,Kern,Fairfax Elementary,KK-08,1217,61.4000015259,33.908000946,88.095199585,78,628.5500488281,0.0640920326,5485.49609375,19.8208465576,8.1739997864,30.3204593658,629.4000244141,627.700012207
44,63404,Kern,Delano Union Elementary,KK-08,6219,268,21.4986000061,100,571,628.6500244141,0.0918154046,4793.3701171875,23.2052230835,7.5,52.2431259155,621.0999755859,636.200012207
45,67199,Riverside,Perris Elementary,KK-06,4258,221,24.6595001221,92.7431030273,324,628.75,0.0760920644,5092.9174804688,19.2669677734,10.0504999161,36.8013153076,626.5,631
46,65078,Los Angeles,Valle Lindo Elementary,KK-08,1235,53,8.2182998657,62.1301994324,175,629.8000488281,0.1417004019,4359.5209960938,23.3018875122,7.3319997787,30.2833995819,630.200012207,629.4000244141
47,69369,Santa Clara,Alum Rock Union Elementary,KK-08,16244,766.6500244141,17.4531002045,69.7398986816,1423,630.3499755859,0.0876015723,5645.4956054688,21.1882858276,12.581577301,49.864566803,629.5,631.200012207
48,63438,Kern,Edison Elementary,KK-08,814,39,19.7789001465,67.4447021484,85,630.4000244141,0.1044226065,4518.0161132813,20.8717956543,15.1770000458,13.7592134476,631.9000244141,628.9000244141
49,63321,Kern,Bakersfield City Elementary,KK-08,27176,1429,39.2183990479,84.2949981689,3324,630.549987793,0.1223138049,5864.3662109375,19.0174942017,12.1091279984,28.8637046814,631.5999755859,629.5
50,69450,Santa Clara,Franklin-McKinley Elementary,KK-08,10696,487.9700012207,22.1578006744,70.8956985474,1306,630.549987793,0.1221017167,5257.9965820313,21.919380188,11.7849998474,52.8047866821,628.5,632.5999755859
51,64592,Los Angeles,Hawthorne Elementary,KK-08,8935,444.5,36.945098877,79.5120010376,786,631.0500488281,0.0879686624,5016.6923828125,20.1012382507,14.0620002747,44.0850601196,628.4000244141,633.700012207
52,65193,Madera,Chowchilla Elementary,KK-08,1600,74.5,27.2614002228,79.7255020142,242,631.4000244141,0.1512500048,4720.0864257813,21.4765110016,10.4720001221,35.25,635.700012207,627.0999755859
53,66142,Monterey,Salinas City Elementary,KK-06,9028,449.9200134277,13.9884996414,69.9424972534,669,631.8499755859,0.0741027892,5470.5625,20.065788269,13.4051170349,37.4944610596,633,630.700012207
54,69120,Santa Barbara,Santa Maria-Bonita Elementary,KK-08,10625,521.4699707031,7.4974999428,77.5255966187,896,631.9000244141,0.0843294114,5615.4418945313,20.3750953674,12.3017997742,50.3905906677,629.5999755859,634.200012207
55,65110,Los Angeles,Whittier City Elementary,KK-08,7151,318.5799865723,18.5480995178,61.7382011414,560,631.950012207,0.0783107281,5245.4399414063,22.4464817047,15.4040708542,31.0725784302,634.200012207,629.700012207
