PLAYER,SALARY,CAD_SALARY,BORN,AGE,TEAM,Number,Position,Handed,Years_EXP,Height,Weight,Games_Played,Goals,Assists,Points,Penalty_Min,PLUSMINUS,PP_Goals,SH_Goals,GW_Goals,SOG,Shot_PCT
"AALTO, ANTTI",495000,0,FINLAND,24,ANA,14,C,L,1,74,190,73,3,5,8,24,-12,2,0,0,61,4.8999999911
"ADAMS, KEVYN",467500,0,USA DC,24,TOR,42,C,R,1,73,195,1,0,0,0,0,0,0,0,0,1,0
"ALBELIN, TOMMY",1100000,0,SWEDEN,35,CAL,5,D,L,11,73,195,60,1,5,6,8,-11,0,0,0,54,1.8999999985
"ALFREDSSON, DANIEL",2600000,0,SWEDEN,26,OTT,11,R,R,3,71,194,58,11,22,33,14,8,3,0,5,163,6.6999999881
"ALLEN, CHRIS",775000,0,CAN ONT,21,FLA,12,D,R,1,74,193,1,0,0,0,0,1,0,0,0,0,0
"ALLISON, JAMIE",450000,0,CAN ONT,24,CHI,38,D,L,3,73,195,39,2,2,4,62,0,0,0,0,24,8.2999999821
"ALLISON, JASON",2600000,0,CAN ONT,24,BOS,41,C,R,5,74,205,82,23,53,76,68,5,5,1,3,158,14.599999994
"AMONTE, TONY",2900000,0,USA MA,29,CHI,10,R,L,8,72,190,82,44,31,75,60,0,14,3,8,256,17.1999999881
"ANDERSSON, MIKAEL",850000,0,SWEDEN,33,PHI,14,R,L,13,71,184,47,2,4,6,4,-7,0,0,0,51,3.8999999985
"ANDREYCHUK, DAVE",1200000,0,CAN ONT,35,NJ,23,L,R,16,75,220,52,15,13,28,20,1,4,0,3,110,13.599999994
"ANDRUSAK, GREG",350000,0,CAN BC,29,PIT,49,D,R,3,73,190,7,0,1,1,4,4,0,0,0,2,0
"ARMSTRONG, DEREK",385000,0,CAN ONT,26,NYR,18,C,R,4,71,188,3,0,0,0,0,0,0,0,0,1,0
"ARNOTT, JASON",1800000,0,CAN ONT,24,NJ,25,R,R,5,75,210,74,27,27,54,79,10,8,0,3,200,13.5
"ARVEDSON, MAGNUS",1100000,0,SWEDEN,27,OTT,20,R,L,1,74,198,80,21,26,47,50,33,0,4,6,136,15.3999999762
"ASHAM, ARRON",-999,0,CAN MAN,21,MON,45,R,R,0,71,176,7,0,0,0,0,-4,0,0,0,5,0
"ATCHEYNUM, BLAIR",500000,0,CAN SAS,30,STL,23,R,R,2,74,196,65,10,8,18,18,-8,2,0,2,93,10.7999999821
"AUBIN, SERGE",375000,0,CAN QUE,24,COL,44,C,L,0,73,194,1,0,0,0,0,0,0,0,0,1,0
"AUCOIN, ADRIAN",1500000,0,CAN ONT,26,VAN,6,D,R,4,73,194,82,23,11,34,77,-14,18,2,3,174,13.1999999881
"AUDET, PHILIPPE",400000,0,CAN ONT,22,DET,22,L,L,0,74,175,4,0,0,0,0,-2,0,0,0,3,0
"AUDETTE, DONALD",2200000,0,CAN QUE,29,LA,10,R,R,9,68,184,49,18,18,36,51,7,6,0,2,152,11.7999999821
"AUGUSTA, PATRIK",-999,0,CZECH,29,WAS,14,R,L,1,70,169,2,0,0,0,0,0,0,0,0,4,0
"AXELSSON, P.J.",650000,0,SWEDEN,24,BOS,11,L,L,1,73,175,77,7,10,17,18,-14,0,0,2,146,4.799999997
"BABYCH, DAVE",-999,0,CAN ALB,38,LA,44,D,L,18,74,215,41,2,6,8,22,-2,2,0,0,49,4.099999994
"BAKER, JAMIE",450000,0,CAN ONT,33,SJ,13,C,L,9,72,190,1,0,1,1,0,1,0,0,0,1,0
"BANNISTER, DREW",550000,0,CAN ONT,25,TB,55,D,R,3,73,200,21,1,2,3,24,-4,0,0,0,29,3.3999999985
"BARNABY, MATTHEW",1000000,0,CAN ONT,26,PIT,36,L,L,6,72,185,62,6,16,22,177,-12,1,0,3,79,7.599999994
"BARNES, STU",1500000,0,CAN ALB,28,BUF,41,C,R,7,70,174,81,20,16,36,30,-11,13,0,3,180,11.099999994
"BARON, MURRAY",2000000,0,CAN BC,32,VAN,23,D,L,9,75,222,81,2,6,8,115,-23,0,0,0,53,3.799999997
"BARTECKO, LUBOS",-999,0,CZECH,23,STL,56,L,L,0,73,200,32,5,11,16,6,4,0,0,1,37,13.5
"BASHKIROV, ANDREI",450000,0,USSR,29,MON,35,L,L,0,72,198,10,0,0,0,0,-3,0,0,0,4,0
"BASSEN, BOB",-999,0,CAN ALB,34,CAL,28,C,L,13,70,190,41,1,2,3,35,-13,0,0,0,47,2.099999994
"BAST, RYAN",925000,0,CAN ALB,24,PHI,32,D,L,0,74,190,2,0,1,1,0,0,0,0,0,1,0
"BATES, SHAWN",440000,0,USA MA,24,BOS,17,C,R,1,71,180,33,5,4,9,2,3,0,0,0,30,16.6999999881
"BATTAGLIA, BATES",500000,0,USA IL,23,CAR,13,L,L,1,74,185,60,7,11,18,22,7,0,0,0,52,13.5
"BAUMGARTNER, KEN",-999,0,CAN MAN,33,BOS,22,L,L,11,73,205,69,1,3,4,119,-6,0,0,0,15,6.6999999881
